date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:29	11688/11688	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2006:13:27%20GMT	http://www.devangad.xyz/	D:/bdAY/www.devangad.xyz/index.html	(from )
11:43:29	6189/6189	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2006:13:27%20GMT	http://www.devangad.xyz/robots.txt		(from )
11:43:31	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sat,%2025%20Apr%202020%2007:38:34%20GMT	http://www.devangad.xyz/images/favicon.ico	D:/bdAY/www.devangad.xyz/images/favicon.ico	(from http://www.devangad.xyz/)
11:43:35	13664/13664	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Apr%202020%2006:48:00%20GMT	http://www.devangad.xyz/css/swiper.min.css	D:/bdAY/www.devangad.xyz/css/swiper.min.css	(from http://www.devangad.xyz/)
11:43:46	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%225cf6f82d-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	D:/bdAY/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from http://www.devangad.xyz/)
11:43:52	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	D:/bdAY/unpkg.com/aos@2.3.1/dist/aos.css	(from http://www.devangad.xyz/)
11:43:57	21000/21000	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2006:13:55%20GMT	http://www.devangad.xyz/transparent	D:/bdAY/www.devangad.xyz/transparent.6.delayed	(from http://www.devangad.xyz/)
11:44:06	262427/262427	---M--	200	added ('OK')	application/pdf	date:Fri,%2024%20Apr%202020%2011:49:41%20GMT	http://www.devangad.xyz/docs/CV.pdf	D:/bdAY/www.devangad.xyz/docs/CV.pdf	(from http://www.devangad.xyz/)
11:44:14	139555/139555	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Apr%202020%2006:48:13%20GMT	http://www.devangad.xyz/js/swiper.min.js	D:/bdAY/www.devangad.xyz/js/swiper.min.js	(from http://www.devangad.xyz/)
11:44:14	77/77	---M--	302	error ('Found')	text/plain	date:Sun,%2014%20Jun%202020%2006:13:59%20GMT	https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	D:/bdAY/unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	(from http://www.devangad.xyz/)
11:44:22	301411/301411	---M-Z	200	added ('OK')	application/javascript	etag:W/%2249963-mkkbWW/foWR+iSsFPNYa5Yx9mJ4%22	https://unpkg.com/@lottiefiles/lottie-player@0.5.1/dist/lottie-player.js	D:/bdAY/unpkg.com/@lottiefiles/lottie-player@0.5.1/dist/lottie-player.js	(from http://www.devangad.xyz/)
11:44:23	53/53	---M--	302	error ('Found')	text/plain	date:Sun,%2014%20Jun%202020%2006:14:22%20GMT	https://unpkg.com/axios/dist/axios.min.js	D:/bdAY/unpkg.com/axios/dist/axios.min.a.delayed	(from http://www.devangad.xyz/)
11:44:23	13993/13993	---M-Z	200	added ('OK')	application/javascript	etag:W/%2236a9-7tzqdxpnjCnFk5qq2I3A8iiPNvw%22	https://unpkg.com/axios@0.19.2/dist/axios.min.js	D:/bdAY/unpkg.com/axios@0.19.2/dist/axios.min.js	(from http://www.devangad.xyz/)
11:44:25	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	D:/bdAY/unpkg.com/aos@2.3.1/dist/aos.js	(from http://www.devangad.xyz/)
11:44:29	20163/20163	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202020%2009:37:26%20GMT	http://www.devangad.xyz/js/smooth-scroll.js	D:/bdAY/www.devangad.xyz/js/smooth-scroll.js	(from http://www.devangad.xyz/)
11:44:33	5782/5782	---M-Z	200	added ('OK')	text/javascript	etag:%22a8e6a3dde655976cfaa1ae45d67d78de%22	https://kit.fontawesome.com/39cbaae08f.js	D:/bdAY/kit.fontawesome.com/39cbaae08f.js	(from http://www.devangad.xyz/)
11:44:35	20098/20098	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2014:21:29%20GMT	http://www.devangad.xyz/css/style.css	D:/bdAY/www.devangad.xyz/css/style.css	(from http://www.devangad.xyz/)
11:44:38	69326/69326	---M--	200	added ('OK')	image/gif	date:Sat,%2025%20Apr%202020%2014:34:11%20GMT	http://www.devangad.xyz/images/loader1.gif	D:/bdAY/www.devangad.xyz/images/loader1.gif	(from http://www.devangad.xyz/css/style.css)
